observation_date,labor_hours_index,gdp,deflator,investment_nominal,investment_real,capital,labor_growth,gdp_growth,capital_growth
1961-04-01,-2.3,3553.021,15.636,30206750000.0,7727487848.554618,34838540853.12147,-0.023,0.016836022282726404,0.19949937670539697
1961-07-01,-1.1,3621.252,15.676,31027750000.0,7917262056.647103,40824101659.02001,-0.011000000000000001,0.019021594877155934,0.15854836419765306
1961-10-01,1.0,3692.289,15.725,32134250000.0,8174054054.054054,46700158632.71611,0.01,0.019426768536790817,0.13447492757884305
1962-01-01,2.0,3758.147,15.806,32654500000.0,8263823864.355309,52539204755.13435,0.02,0.017679425844058017,0.11781208663852638
1962-04-01,3.5,3792.149,15.832,33279000000.0,8408034360.788277,58176068381.73294,0.035,0.009006860092162228,0.10191442582912558
1962-07-01,2.6,3838.776,15.865,33771250000.0,8514654900.724866,63675299323.43457,0.026000000000000002,0.012220688918295863,0.0903226476714849
1962-10-01,0.7,3851.421,15.898,33768250000.0,8496225940.369858,69006189257.9877,0.006999999999999999,0.0032886053234335577,0.08039947831125005
1963-01-01,1.0,3893.482,15.967,34018750000.0,8522264670.8836975,74052105735.45816,0.01,0.010861701822962644,0.07057277701445841
1963-04-01,0.4,3937.183,15.995,35091500000.0,8775617380.431385,78871765119.56894,0.004,0.01116162003985366,0.06305433029309171
1963-07-01,0.9,4023.755,16.016,36178000000.0,9035464535.464537,83703794244.02187,0.009000000000000001,0.02175005327773505,0.05946100066459792
1963-10-01,2.3,4050.147,16.146,36814000000.0,9120277468.103554,88554069067.28531,0.023,0.0065376305040079075,0.05632900743500713
1964-01-01,3.8,4135.553,16.197,37781500000.0,9330493301.228622,93246643082.0246,0.038,0.02086787917430577,0.05163474338277041
1964-04-01,3.6,4180.592,16.234,38140750000.0,9397745472.465195,97914804229.152,0.036000000000000004,0.010831807372440494,0.048849697215352705
1964-07-01,4.0,4245.918,16.299,38626500000.0,9479477268.544083,102416809490.15958,0.04,0.015505187497860007,0.044953098339846065
1964-10-01,4.2,4259.046,16.373,39172500000.0,9570023819.703169,106775446284.19568,0.042,0.003087140739525651,0.04167714207739337
1965-01-01,3.6,4362.111,16.455,40298500000.0,9796049832.877546,111006697789.68906,0.036000000000000004,0.02391092295812669,0.03886254355141716
1965-04-01,4.2,4417.225,16.531,41348250000.0,10005020869.88083,115252412733.08215,0.042,0.012555556370438481,0.037534076495340685
1965-07-01,3.8,4515.427,16.595,42703250000.0,10293040072.310938,119494812966.30887,0.038,0.021988085171807725,0.03614834785490473
1965-10-01,3.8,4619.458,16.709,43912000000.0,10512179065.174458,123813112390.30437,0.038,0.022777626153715147,0.03550030626720613
1966-01-01,3.7,4731.888,16.816,45562000000.0,10837773549.000952,128134635835.9636,0.037000000000000005,0.024046895002712176,0.034308283032373765
1966-04-01,3.7,4748.046,16.954,45781750000.0,10801403798.513624,132565677593.16635,0.037000000000000005,0.003408887793316495,0.03399664897657928
1966-07-01,3.9,4788.254,17.118,46380000000.0,10837714686.29513,136738797512.02165,0.039,0.00843267058825603,0.030994315907197034
1966-10-01,2.6,4827.537,17.261,46395250000.0,10751462835.293436,140739572322.7157,0.026000000000000002,0.008170564135186353,0.028838659284968315
1967-01-01,1.1,4870.299,17.333,46319250000.0,10689263255.0626,144454056541.87335,0.011000000000000001,0.008818931799984497,0.02605033143111868
1967-04-01,-0.5,4873.287,17.421,46929250000.0,10775328626.370472,147920616969.8423,-0.005,0.0006133265706615987,0.023714248850637887
1967-07-01,-0.6,4919.392,17.588,47873000000.0,10887650670.911985,151299914747.72064,-0.006,0.009416287547763247,0.02258829928909023
1967-10-01,0.1,4956.477,17.784,49380250000.0,11106668915.879442,154622569681.24658,0.001,0.0075102604766694725,0.021723055758098297
1968-01-01,0.4,5057.553,17.981,50551000000.0,11245425727.156443,157998110113.0637,0.004,0.02018756338194727,0.02159595855862051
1968-04-01,1.9,5142.033,18.171,51098000000.0,11248252710.362667,161343630334.56693,0.019,0.016565757068628173,0.020953368753936275
1968-07-01,2.3,5181.859,18.349,51887500000.0,11311243119.51605,164524701528.20123,0.023,0.007715345638743543,0.019524279798368127
1968-10-01,2.5,5202.212,18.608,53576500000.0,11516874462.596733,167609709571.30722,0.025,0.003920047554242245,0.018577399174944276
1969-01-01,3.3,5283.597,18.8,55606000000.0,11831063829.787233,170746098555.3386,0.033,0.015523196020344798,0.018539529946266953
1969-04-01,3.2,5299.625,19.039,55802000000.0,11723724985.555964,174039857457.3589,0.032,0.0030289475651379405,0.019106689510621777
1969-07-01,3.0,5334.6,19.307,56824750000.0,11772880302.480967,177061589570.0469,0.03,0.006577842035149217,0.017213296891245733
1969-10-01,2.1,5308.556,19.556,55702750000.0,11393485375.332378,179981390394.0255,0.021,-0.004894046837826238,0.016355823124488467
1970-01-01,0.7,5300.652,19.832,56325250000.0,11360478015.328762,182375806249.6566,0.006999999999999999,-0.0014900266753858915,0.013215968821903346
1970-04-01,-1.5,5308.164,20.108,56302250000.0,11199970161.129898,184617493952.5025,-0.015,0.001416180892475083,0.01221665671780059
1970-07-01,-2.4,5357.077,20.273,57265250000.0,11298821092.092932,186586589416.00726,-0.024,0.009172477759880948,0.010609333363905904
1970-10-01,-2.9,5299.672,20.541,57958500000.0,11286402804.147802,188556081037.2998,-0.028999999999999998,-0.010773558661599125,0.010500057025133458
1971-01-01,-2.1,5443.619,20.853,58822750000.0,11283316549.177576,190414679789.5826,-0.021,0.026799165184653972,0.00980874434611323
1971-04-01,-0.5,5473.059,21.127,61195250000.0,11586169356.747292,192177262349.28107,-0.005,0.005393595262143336,0.009213968384642612
1971-07-01,0.0,5518.072,21.342,62760500000.0,11762815106.36304,194154568588.5643,0.0,0.008190831618485106,0.010236399627082449
1971-10-01,1.9,5531.032,21.52,64298500000.00001,11951394052.044611,196209655265.4991,0.019,0.0023458926521939816,0.010529170131277965
1972-01-01,2.6,5632.649,21.848,67433750000.0,12345981325.521788,198350566554.26877,0.026000000000000002,0.018205430023737534,0.010852246028939305
1972-04-01,3.0,5760.47,21.984,68930500000.0,12541939592.430859,200779019552.07712,0.03,0.02243922200938009,0.012168894763927796
1972-07-01,3.5,5814.854,22.194,69647250000.0,12552446607.191133,203282008166.9041,0.035,0.00939660957362598,0.012389319728651316
1972-10-01,3.5,5912.22,22.477,73714250000.0,13118165235.574142,205670354365.75003,0.035,0.016605717228014072,0.011680447757132839
1973-01-01,3.9,6058.544,22.736,77484750000.0,13632081280.788177,208505001883.03668,0.039,0.024448111784003856,0.013688365255713819
1973-04-01,4.2,6124.506,23.086,78881500000.0,13667417482.456902,211711833069.673,0.042,0.010828592930138825,0.015263041244658382
1973-07-01,4.3,6092.301,23.535,79803500000.0,13563373698.746548,214793658898.64624,0.043,-0.005272257243541745,0.014451769200473308
1973-10-01,3.8,6150.131,24.004,80518000000.0,13417430428.261955,217617349652.46048,0.038,0.009447539531183935,0.013060402419171169
1974-01-01,1.8,6097.258,24.457,81700250000.0,13362268471.19434,220153912598.0994,0.018000000000000002,-0.008634220481127386,0.011588660800985195
1974-04-01,1.0,6111.751,25.035,84002750000.0,13421649690.433393,222508485439.38876,0.01,0.0023741495820974734,0.010638333222257046
1974-07-01,0.0,6053.978,25.769,85907750000.0,13335053746.749971,224804710857.8527,0.0,-0.009497734873638919,0.010266835887982495
1974-10-01,-2.1,6030.464,26.527,85090750000.0,12830813887.737022,226899529061.71002,-0.021,-0.00389162026282186,0.00927524267796187
1975-01-01,-4.7,5957.035,27.13,84343750000.0,12435495761.150019,228385366496.36154,-0.047,-0.012251082299137295,0.006527089847374157
1975-04-01,-5.9,5999.61,27.533,84100500000.0,12218138234.119057,229401593932.69348,-0.059000000000000004,0.007121593045516406,0.004439746840525061
1975-07-01,-4.7,6102.326,28.019,88026250000.0,12566651200.97077,230149652470.17786,-0.047,0.01697554285846614,0.003255607308481956
1975-10-01,-1.5,6184.53,28.488,91442000000.0,12839370963.212582,231208821047.6397,-0.015,0.01338100268400133,0.004591529142970785
1976-01-01,3.4,6323.649,28.789,95711750000.0,13298377852.652054,232487750958.4703,0.034,0.022245402302655037,0.0055162501993208934
1976-04-01,4.4,6370.025,29.079,97206500000.0,13371367653.633205,234161741263.19885,0.044000000000000004,0.00730697926256596,0.007174538977150036
1976-07-01,3.8,6404.895,29.455,99053250000.0,13451468341.53794,235825021853.67212,0.038,0.005459147548547705,0.007078018637820094
1976-10-01,2.7,6451.177,29.983,103781500000.0,13845379048.127272,237485239102.52643,0.027000000000000003,0.007200053008572738,0.007015373191041618
1977-01-01,2.1,6527.703,30.465,109225000000.0,14341047103.23322,239456356195.52734,0.021,0.01179252552301513,0.008265701020604865
1977-04-01,3.9,6654.466,30.895,116112500000.0,15033176889.464315,241824585488.9842,0.039,0.019233087903616664,0.009841438555589832
1977-07-01,4.6,6774.457,31.271,119219500000.0,15249848102.075405,244766533103.9993,0.046,0.017871007745393186,0.012092220143699706
1977-10-01,5.1,6774.592,31.947,122893750000.0,15387203806.304192,247778054550.87473,0.051,1.992759787050602e-05,0.01222857402291666
1978-01-01,4.5,6796.26,32.411,125712250000.0,15514763506.217024,250776355629.63516,0.045,0.0031933173264118153,0.012028124376833205
1978-04-01,5.5,7058.92,33.031,137819750000.0,16689745996.185402,253752301354.3704,0.055,0.03791960442252851,0.011797071176076201
1978-07-01,5.3,7129.915,33.592,144270750000.0,17179179566.563469,257754432282.83725,0.053,0.010007247597409119,0.015648719111204912
1978-10-01,5.5,7225.75,34.279,150350000000.0,17544269086.029346,262045890235.25885,0.055,0.013351721942857608,0.016512323190287503
1979-01-01,5.8,7238.727,34.904,152921000000.0,17524753609.901443,266487864809.52527,0.057999999999999996,0.0017943273692839767,0.016809065152020963
1979-04-01,3.1,7246.454,35.759,157204500000.0,17584887720.57384,270688225178.95044,0.031,0.0010668835595399884,0.015638990852416157
1979-07-01,3.2,7300.281,36.541,164717750000.0,18031006266.933037,274738701640.57675,0.032,0.0074005947959889795,0.014852772113265189
1979-10-01,2.2,7318.535,37.219,166919000000.0,17939117117.601223,279032772825.48096,0.022000000000000002,0.0024973307670048683,0.015508770136264616
1980-01-01,1.2,7341.557,38.001,170093500000.0,17904107786.637196,283020251301.8081,0.012,0.003140774140431901,0.01418921420617636
1980-04-01,-0.9,7190.289,38.905,161559250000.0,16610641305.744762,286773346523.35486,-0.009000000000000001,-0.02081957983157423,0.013173715934513552
1980-07-01,-2.3,7181.743,39.774,165824250000.0,16676648061.547745,289045320502.9319,-0.023,-0.001189254380623339,0.007891323779116277
1980-10-01,-1.2,7315.677,40.81,174901750000.0,17143028669.443764,291269702539.333,-0.012,0.018477468485921023,0.007666156628626908
1981-01-01,-0.4,7459.022,41.885,181756750000.0,17357693685.09013,293849246081.8101,-0.004,0.019404726680360085,0.008817216603183908
1981-04-01,1.5,7403.745,42.715,185848500000.0,17403581879.901672,296514477462.80975,0.015,-0.007438353150345023,0.00902917771478684
1981-07-01,2.0,7492.405,43.519,188511000000.0,17326776810.12891,299092335469.5709,0.02,0.011903887506921507,0.008656294883312654
1981-10-01,0.2,7410.768,44.271,192643500000.0,17405841295.6563,301464495506.22125,0.002,-0.010955763120232831,0.007899909721150067
1982-01-01,-2.1,7295.631,44.88,190004750000.0,16934469696.969696,303797112026.56647,-0.021,-0.01565840182690792,0.007707834231798216
1982-04-01,-1.7,7328.912,45.463,188543250000.0,16588720497.987373,305541726122.2079,-0.017,0.004551397941380486,0.005726268386627709
1982-07-01,-2.4,7300.896,46.108,186139500000.0,16148130476.2731,306853360314.08484,-0.024,-0.0038299934280559,0.004283627437828841
1982-10-01,-2.8,7303.817,46.586,188203500000.0,16159661700.940197,307658822774.6536,-0.027999999999999997,0.00040000786581018133,0.0026214709618592735
1983-01-01,-0.6,7400.066,46.938,191323250000.0,16304337636.882696,308435543336.86115,-0.006,0.013091830874991217,0.0025214350802080787
1983-04-01,0.1,7568.456,47.286,197126750000.0,16675273865.41471,309318103806.90076,0.001,0.02250016454491366,0.0028573237068769686
1983-07-01,2.8,7719.746,47.789,207740750000.0,17388164640.39842,310527472481.97046,0.027999999999999997,0.01979237830682834,0.0039021661391487328
1983-10-01,5.8,7880.794,48.151,218240750000.0,18129696164.150276,312389263498.2704,0.057999999999999996,0.020647198274003742,0.005977673909342229
1984-01-01,7.1,8034.847,48.639,225499750000.0,18544768601.32815,314899496487.50714,0.071,0.019359297100569606,0.00800347957402181
1984-04-01,7.3,8173.67,49.055,234760750000.0,19142656202.221996,317699290264.4599,0.073,0.017130055100595953,0.008851778146944156
1984-07-01,5.6,8252.465,49.491,240317000000.0,19423087025.923904,320956981953.45886,0.055999999999999994,0.00959393118098717,0.010201794250797036
1984-10-01,4.4,8320.199,49.861,247289500000.0,19838310503.198895,324332219881.7098,0.044000000000000004,0.008174229219141793,0.0104612589213815
1985-01-01,3.2,8400.82,50.354,250477750000.0,19897346784.76387,327953919390.8232,0.032,0.009643147316147349,0.011104748387563035
